msg_id,app_protocol,src_app,dst_app,message,timestamp
1,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,0.015
2,HTTP,web_server,client_browser,HTTP/1.1 200 OK (text/html),0.022
3,HTTP,client_browser,web_server,GET /style.css HTTP/1.1,0.045
4,HTTP,web_server,client_browser,HTTP/1.1 200 OK (text/css),0.053
5,HTTP,client_browser,web_server,GET /logo.png HTTP/1.1,0.060
6,HTTP,web_server,client_browser,HTTP/1.1 200 OK (image/png),0.075
7,HTTP,client_browser,web_server,GET /script.js HTTP/1.1,0.088
8,HTTP,web_server,client_browser,HTTP/1.1 200 OK (application/javascript),0.095
9,HTTP,client_browser,web_server,GET /favicon.ico HTTP/1.1,0.110
10,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.125
11,HTTP,client_browser,web_server,POST /login HTTP/1.1,0.150
12,HTTP,web_server,client_browser,HTTP/1.1 302 Found (Redirecting to /dashboard),0.162
13,HTTP,client_browser,web_server,GET /dashboard HTTP/1.1,0.180
14,HTTP,web_server,client_browser,HTTP/1.1 200 OK (text/html),0.195
15,HTTP,client_browser,web_server,GET /api/user_data HTTP/1.1,0.210
16,HTTP,web_server,client_browser,HTTP/1.1 200 OK (application/json),0.225
17,HTTP,client_browser,web_server,GET /images/banner.jpg HTTP/1.1,0.240
18,HTTP,web_server,client_browser,HTTP/1.1 200 OK (image/jpeg),0.255
19,HTTP,client_browser,web_server,GET /fonts/roboto.woff2 HTTP/1.1,0.270
20,HTTP,web_server,client_browser,HTTP/1.1 304 Not Modified,0.285
21,HTTP,client_browser,web_server,POST /update_profile HTTP/1.1,0.310
22,HTTP,web_server,client_browser,HTTP/1.1 200 OK (Success),0.325
23,HTTP,client_browser,web_server,GET /logout HTTP/1.1,0.350
24,HTTP,web_server,client_browser,HTTP/1.1 200 OK (Logged Out),0.365
25,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,0.400
26,HTTP,web_server,client_browser,HTTP/1.1 200 OK (text/html),0.415
